#639-5,#Name5,#Name1,#Name1-native,#639-1,"#639-2-t",#639-2-b,#639-3,#639-6,#Notes
trk,Turkic,Uzbek,"Oʻzbekcha, oʻzbek tili, Ўзбекча, ўзбек тили, اۉزبېکچه, اۉزبېک تیلی",uz,uzb,uzb,uzb,"",macrolanguage
,Niger–Congo,Venda,Tshivenḓa,ve,ven,ven,ven,"",""
aav,Austroasiatic,Vietnamese,Việt Nam,vi,vie,vie,vie,"",""
,Constructed,Volapük,Volapük,vo,vol,vol,vol,"",constructed
ine,Indo-European,Walloon,walon,wa,wln,wln,wln,"",""
ine,Indo-European,Welsh,Cymraeg,cy,cym,wel,cym,"",""
,Niger–Congo,Wolof,Wollof,wo,wol,wol,wol,"",""
ine,Indo-European,Western Frisian,Frysk,fy,fry,fry,fry,"",""
,Niger–Congo,Xhosa,isiXhosa,xh,xho,xho,xho,"",""
ine,Indo-European,Yiddish,ייִדיש,yi,yid,yid,yid,"",macrolanguage
,Niger–Congo,Yoruba,Yorùbá,yo,yor,yor,yor,"",""
tai,Tai–Kadai,"Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh",za,zha,zha,zha,"",macrolanguage
,Niger–Congo,Zulu,isiZulu,zu,zul,zul,zul,"",""
